210,210,210,210,210,210,210,210,210,210,210,210,
210,210,210,210,210,210,211,210,210,210,210,210,
210,210,186,210,210,210,210,210,187,210,210,210,
210,210,210,210,187,210,210,210,210,210,210,210,
210,210,211,210,210,210,210,210,210,187,210,210,
210,210,210,210,210,210,186,210,210,210,210,210,
210,210,210,210,210,210,210,210,210,210,210,210,
210,210,210,210,210,210,210,211,210,210,210,210,
210,210,210,187,210,210,210,210,210,210,210,210,
210,210,210,210,186,210,210,210,210,186,210,210,
210,210,186,210,210,210,210,211,210,210,210,210,
210,210,210,210,210,210,210,210,210,210,210,210
